,Lat,Long,City,Neighborhood,Zillow Home Value,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Median Value/SQFT,Monthly +/- in MVSF,Quarterly +/- in MVSF,Yearly +/- in MVSF,Zillow Rent Index,Monthly +/- Rent,Quarterly +/- Rent,Yearly +/- Rent,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
0,36.9105813075,-76.0562626046,Virginia Beach City,Cape Story by the Sea,635900,0.007,0.017,0.043,0.02,0.004,271,0.004,0.015,0.042,---,---,---,---,3.0,Hiking Trail,Harbor or Marina,Ice Cream Parlor,Playground,Drugstore
1,36.8782447502,-76.02613810060001,Virginia Beach City,Alanton,480900,0.007,0.02,0.048,0.024,0.011,1506,0.007,0.02,0.047,2193,-0.009,-0.021,0.047,3.0,Boat or Ferry,Sports Bar,Zoo,Mover,Moving Target
2,36.8650521869,-76.1240022262,Virginia Beach City,Pembroke,316000,0.005,0.017,0.032,0.021,0.005,145,0.0,0.014,0.028,1826,0.009,0.011,0.03,3.0,Italian Restaurant,Chinese Restaurant,Supermarket,History Museum,Convenience Store
3,36.8635669156,-76.0875271849,Virginia Beach City,Kings Grant,383100,0.004,0.013,0.031,0.016,0.009,849,0.004,0.013,0.032,1957,-0.004,-0.034,0.007,3.0,Bridal Store,Playground,Landmarks and Outdoors,Zoo,Night Club
4,36.793427502,-76.0053170985,Virginia Beach City,Macons Corner,236100,0.005,0.016,0.042,0.019,0.005,188,0.005,0.016,0.039,---,---,---,---,3.0,Convenience Store,Grocery Store,Pizzeria,Vintage and Thrift Store,American Restaurant
5,36.912446771,-76.0733308062,Virginia Beach City,Lynnhaven Shores,389600,0.004,0.014,0.037,0.019,0.005,250,0.004,0.012,0.033,1845,0.007,0.007,0.048,3.0,Beach,Seafood Restaurant,Bar,Hiking Trail,Playground
6,36.8020519013,-76.1548524029,Virginia Beach City,Acredale,312200,0.004,0.014,0.039,0.025,0.01,360,0.003,0.014,0.037,1796,-0.002,0.01,0.05,1.0,Park,Shopping Mall,Outlet Store,Moving Target,Museum
7,36.8772321663,-76.001832612,Virginia Beach City,Bay Colony,857500,0.004,0.014,0.03,0.024,0.01,253,0.004,0.012,0.028,---,---,---,---,0.0,Bookstore,Bus Stop,Movie Theater,Moving Target,Museum
8,36.7289382921,-75.9369795976,Virginia Beach City,Sandbridge,682400,-0.001,-0.002,0.02,0.011,-0.002,1446,-0.001,-0.001,0.02,3279,-0.005,-0.007,0.013,3.0,Beach,Resort,Travel and Transportation,Speakeasy,Vacation Rental
9,36.9061304059,-76.0219423767,Virginia Beach City,First Landing State Park,1079700,0.013,0.037,0.015,0.027,0.01,328,0.015,0.038,0.015,---,---,---,---,3.0,Hiking Trail,Beach,Zoo,Night Club,Organic Grocery
10,36.8591987726,-76.0029641044,Virginia Beach City,Linkhorn Park,473000,0.004,0.015,0.042,0.024,0.006,231,0.004,0.018,0.045,1891,-0.006,-0.014,0.04,3.0,Italian Restaurant,Bakery,Convenience Store,Thai Restaurant,Night Club
11,36.9195497241,-76.1627788261,Virginia Beach City,US Navy Little Creek Amphibious Base,206800,0.002,0.007,-0.022,-0.027,---,160,0.006,0.006,-0.018,---,---,---,---,3.0,Lounge,Boat or Ferry,Beach,Movie Theater,Music Store
12,36.9053666622,-76.0485803055,Virginia Beach City,Broad Bay Colony,795900,0.002,0.01,0.024,0.033,-0.001,283,0.0,0.007,0.022,---,---,---,---,3.0,Harbor or Marina,Boat or Ferry,Hiking Trail,Furniture and Home Store,Zoo
